id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
1237,Software Engineering,easy,Which of the following is a key principle of the 'DRY' philosophy?,Develop Rapidly and Yield,Do Not Repeat Yourself,Design Right Now,Don't Rush Your Code,b,"DRY stands for Don't Repeat Yourself."" It is a software development principle aimed at reducing repetition of software patterns"
1238,Algorithms,hard,What is the time complexity of finding an element in a balanced AVL tree?,O(1),O(n),O(log n),O(n log n),c,"An AVL tree is a self-balancing binary search tree. Its balancing property guarantees that the height of the tree remains logarithmic, ensuring that search, insertion, and deletion operations have a time complexity of O(log n) in all cases."
1239,Cybersecurity,medium,What is the difference between encryption and hashing?,Encryption is one-way, Hashing is two-way,Encryption is two-way, Hashing is one-way,they are the same thing,Hashing is used for security
1240,Data Structures,hard,What is the time complexity of inserting a node in a red-black tree?,O(1),O(log n),O(n),O(n log n),b,Balancing ensures height is O(log n).
1241,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
1242,Cybersecurity,hard,"What is the purpose of a ""Honeypot"" in cybersecurity?",A tool used to defend against malware,A server or system designed to attract and trap hackers,A type of network protocol,A method for encrypting data,b,"A honeypot is a decoy computer system or network designed to attract hackers and cyber attackers. It's a way to study their techniques, gather intelligence, and divert them away from the real network assets."
1243,Data Structures,medium,What is the difference between a tree and a graph?,A tree is a linear data structure, while a graph is non-linear,A tree must have a root and no cycles; a graph can have cycles and no root,A tree cannot have nodes with more than two children,a tree is a type of graph, while a graph is not a tree
1244,Data Structures,easy,Which structure follows LIFO order?,Queue,Graph,Stack,Tree,c,Stack follows Last-In-First-Out ordering.
1245,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
1246,Operating Systems,medium,What is a page fault?,Page not in RAM,CPU error,Disk failure,Memory leak,a,Page fault occurs when program accesses a page not present in main memory.
1247,Cybersecurity,easy,What is the purpose of multi-factor authentication (MFA)?,To make passwords longer,To protect against brute-force attacks,To require more than one method of verification to grant access,To automatically change a user's password,c,MFA is a security system that requires a user to provide two or more different verification factors to gain access to a resource. It adds an extra layer of security beyond just a password.
1248,Cybersecurity,easy,What is the purpose of 2FA?,Encrypt data,Provide two layers of authentication,Speed network,Prevent SQL errors,b,Two-Factor Authentication requires two verification methods for login.
1249,Algorithms,hard,What is the time complexity of building a heap from n elements?,O(log n),O(n log n),O(n),O(n^2),c,Heapify can build a heap in linear time O(n).
1250,Software Engineering,medium,Which testing checks interactions between modules?,Unit testing,Integration,Acceptance,System,b,Integration testing validates communication between modules.
1251,Data Science,hard,What metric is used to evaluate clustering?,Accuracy,Recall,Silhouette Score,F1 Score,c,Silhouette Score measures cohesion and separation of clusters.
1252,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins (e.g., learning rate, number of trees in a random forest)."
1253,Software Testing,hard,Which test technique modifies code with small changes?,Smoke,Regression,Mutation,Fuzzing,c,Mutation checks if tests catch faults.
1254,Computer Networks,easy,What protocol is used to transfer files?,SMTP,FTP,HTTP,SSH,b,FTP (File Transfer Protocol) is used to transfer files on the internet.
1255,Computer Networks,easy,Which device amplifies signals in a network?,Switch,Repeater,Router,Hub,b,Repeaters regenerate and amplify network signals.
1256,Database Management,hard,What is a materialized view?,A precomputed table storing query results,Normal table,View always up-to-date,Constraint table,a,Materialized views store query results physically for faster access compared to normal views.
1257,Cloud Computing,hard,Which feature differentiates a container from a virtual machine?,Containers run with full OS,Containers share host kernel,Virtual machines are faster,Containers isolate hardware,b,"Containers share the host OS kernel, unlike VMs which emulate full hardware and OS."
1258,Cloud Computing,hard,Which service eliminates server management?,IaaS,PaaS,Serverless,FaaS,c,"Serverless abstracts infrastructure, running code on demand events."
1259,Computer Networks,medium,Which protocol is used to translate domain names to IP addresses?,NAT,DHCP,DNS,ARP,c,DNS resolves human-readable domain names into IP addresses.
1260,Software Engineering,medium,What is a 'code smell'?,A bug that is difficult to fix,A symptom in the source code that suggests a deeper problem,A piece of code that is not optimized,A programming language that is no longer used,b,"A 'code smell' is a superficial symptom that suggests there may be a deeper problem within the code's design. It's not a bug, but it indicates the need for refactoring."
